Donor,FoodType,QuantityTransferred,Recipient,RecipientLocation,DonorContact,RecipientContact,ExpirationDate,Priority
Tasty Treats,Bread,10,City Shelter,New York,123-456-7890,101-202-3030,2025-01-25,urgent
Healthy Bites,Vegetables,20,Green Aid,Boston,987-654-3210,404-505-6060,2025-01-28,normal
Gourmet Kitchen,Fruits,25,Fruitful Hearts,Chicago,456-789-1234,707-808-9090,2025-01-24,urgent
Spice & Curry,Rice,30,Rice Relief,San Francisco,321-654-9870,606-707-8080,2025-01-27,normal
The Happy Chef,Meat,15,Meat Mission,Dallas,789-123-4567,909-101-2020,2025-01-26,urgent
Oceanic Bounty,Fish,15,Ocean Aid,Miami,654-789-3210,202-303-4040,2025-01-28,normal
The Bread Basket,Bakery,35,Bread & Beyond,Seattle,890-567-2341,303-404-5050,2025-01-23,urgent
Harvest Haven,Grains,40,Grain Gatherers,Denver,567-890-1234,505-606-7070,2025-01-27,normal
Farm Fresh,Dairy,20,Dairy Donations,Phoenix,234-567-8901,808-909-1010,2025-01-29,urgent
Sunset Deli,Snacks,25,Snack Squad,San Diego,901-234-5678,909-202-3030,2025-01-28,normal
ambrocias,cheese,2,harshngo,chennai,9024867060,9247274289,2025-01-30,normal
